Reviewed for links,Date Reviewed,Partner Name,Partner Disount,Rate Type,Website,SLR URL,SLO URL,PL URL,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Yes,10/15/2025,Money Crashers,,Non-HBG,https://www.moneycrashers.com/,https://www.moneycrashers.com/compare-refinance-rates-student-loans/,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,American Orthodontic Society,,Non-HBG,https://orthodontics.com/,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,GMAT Club,,Non-HBG,https://gmatclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Nomad Credit,,Non-HBG,https://www.nomadcredit.com/,,https://www.nomadcredit.com/blog/top-us-education-loans-with-co-signer#Earnest-Student-Loan,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Nomad Credit,,Non-HBG,https://www.nomadcredit.com/,,https://www.nomadcredit.com/,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Nomad Credit,,Non-HBG,https://www.nomadcredit.com/,,https://www.nomadcredit.com/us-cosigner-student-loans,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,TuitionChart,,Non-HBG,https://tuitionchart.com/student-loan-compare/apply.html?trackingId=J12-1A-758805020865-c&Cj0KCQjwnovFBhDnARIsAO4V7mBPMQy57fpY5tpwnJccxh4W382nzsnUcf1ZZJ1jLiEtkCgIpTNGycYaAu8xEALw_wcB&gad_source=1&gad_campaignid=22741762759&gbraid=0AAAAAD7h3v8oFIAMilgbIzyPweJR1lrHb&gclid=Cj0KCQjwnovFBhDnARIsAO4V7mBPMQy57fpY5tpwnJccxh4W382nzsnUcf1ZZJ1jLiEtkCgIpTNGycYaAu8xEALw_wcB,,https://www.tuitionchart.com/student-loan-compare/index.html#earnest,,terminated on refi side but active in SLO,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,TuitionChart,,Non-HBG,https://tuitionchart.com/student-loan-compare/apply.html?trackingId=J12-1A-758805020865-c&Cj0KCQjwnovFBhDnARIsAO4V7mBPMQy57fpY5tpwnJccxh4W382nzsnUcf1ZZJ1jLiEtkCgIpTNGycYaAu8xEALw_wcB&gad_source=1&gad_campaignid=22741762759&gbraid=0AAAAAD7h3v8oFIAMilgbIzyPweJR1lrHb&gclid=Cj0KCQjwnovFBhDnARIsAO4V7mBPMQy57fpY5tpwnJccxh4W382nzsnUcf1ZZJ1jLiEtkCgIpTNGycYaAu8xEALw_wcB,,https://www.tuitionchart.com/student-loan-compare/apply.html?,,terminated on refi side but active in SLO,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,TuitionChart,,Non-HBG,https://tuitionchart.com/student-loan-compare/apply.html?trackingId=J12-1A-758805020865-c&Cj0KCQjwnovFBhDnARIsAO4V7mBPMQy57fpY5tpwnJccxh4W382nzsnUcf1ZZJ1jLiEtkCgIpTNGycYaAu8xEALw_wcB&gad_source=1&gad_campaignid=22741762759&gbraid=0AAAAAD7h3v8oFIAMilgbIzyPweJR1lrHb&gclid=Cj0KCQjwnovFBhDnARIsAO4V7mBPMQy57fpY5tpwnJccxh4W382nzsnUcf1ZZJ1jLiEtkCgIpTNGycYaAu8xEALw_wcB,,https://www.tuitionchart.com/student-loan-compare/index.html,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,DotDash,,Non-HBG,https://www.investopedia.com/earnest-student-loans-review-4799946,https://www.investopedia.com/the-best-student-loans-11785239,https://www.investopedia.com/the-best-student-loans-11785239,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,The College Investor,,Non-HBG,http://thecollegeinvestor.com/?srsltid=AfmBOoruAOtMQGIWawCxBPsRcUFvHFYmeuG5UtDyb2qSWdIUCs0Cw1l8,https://thecollegeinvestor.com/17624/earnest-student-loan-review/,https://thecollegeinvestor.com/17624/earnest-student-loan-review/,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,Forbes Advisors,,Non-HBG,https://www.forbes.com/advisor/student-loans/,https://www.forbes.com/advisor/student-loans/best-student-loan-refinance-lenders/,https://www.forbes.com/advisor/student-loans/earnest-student-loan-review/,,,,,,,,,,,,,,,,,,,,,,,
Yes,10/15/2025,GEMS / My Global Ed,,Non-HBG,https://myglobaled.com/,,https://myglobaled.com/international-student/,,,,,,,,,,,,,,,,,,,,,,,
